link,full_name,description,year,mileage_km,engine_capacity,fuel_type,price_pln
https://www.otomoto.pl/oferta/bmw-x1-bmw-x1-sdrive18i-2018-ID6DQw66.html#b0d84a056e,BMW X1 sDrive18i,BMW X1 sDrive18i 2018,2018,69 000 km,1 499 cm3,Benzyna,97 700
https://www.otomoto.pl/oferta/bmw-seria-3-bmw-330e-m-sport-gotowy-do-odbioru-ID6DyS9k.html#b0d84a056e,BMW Seria 3 330e,BMW 330e M Sport gotowy do odbioru!,2020,5 km,1 998 cm3,Hybryda,219 350
https://www.otomoto.pl/oferta/bmw-3gt-bmw-3gt-184km-komplet-kol-lato-zima-ID6DPPQM.html#b0d84a056e,BMW 3GT,"BMW 3GT, 184KM, komplet kół lato / zima !",2013,205 000 km,1 995 cm3,Diesel,59 900
https://www.otomoto.pl/oferta/bmw-x4-xdrive-2-0d-x-line-automat-8stopniowy-polska-salon-ID6DPPW9.html#b0d84a056e,BMW X4 xDrive20d,xdrive 2.0d x line automat 8stopniowy polska salon,2014,176 450 km,1 995 cm3,Diesel,96 900
https://www.otomoto.pl/oferta/bmw-seria-5-m550d-bezwypadkowy-serwisowany-do-konca-w-bmw-ID6DKImi.html#b0d84a056e,BMW Seria 5 M550d,M550d bezwypadkowy serwisowany do końca w BMW,2012,155 000 km,2 993 cm3,Diesel,99 900
https://www.otomoto.pl/oferta/bmw-x5-bmw-x5-3-0-313km-faktura-vat-ID6DHywy.html#b0d84a056e,BMW X5 xDrive40d,BMW X5 3.0 313KM Faktura Vat,2015,210 000 km,2 993 cm3,Diesel,139 900
https://www.otomoto.pl/oferta/bmw-seria-5-bmw-5-f10-2011r-530d-faktura-vat-domykanie-drzwi-ID6DQxZW.html#b0d84a056e,BMW Seria 5 525d,BMW 5 F10 2011r 530D FAKTURA VAT domykanie drzwi,2011,194 000 km,2 993 cm3,Diesel,58 000
https://www.otomoto.pl/oferta/bmw-seria-5-530d-xdrive-masaze-wentyle-night-vision-harman-led-adaptive-shadow-ID6DOIIQ.html#b0d84a056e,BMW Seria 5 530d,530d xDrive Masaze Wentyle Night Vision Harman LED Adaptive SHADOW,2017,183 700 km,2 993 cm3,Diesel,159 900
https://www.otomoto.pl/oferta/bmw-seria-3-bmw-f30-lampy-m-performance-mozliwa-zamiana-z-doplata-ID6DdkTZ.html#b0d84a056e,BMW Seria 3 328i,"BMW F30, lampy M PERFORMANCE, możliwa ZAMIANA z dopłatą!",2013,171 000 km,1 997 cm3,Benzyna,49 999
https://www.otomoto.pl/oferta/bmw-seria-3-318i-szwajcar-ID6DIEh7.html#28e498e40a,BMW Seria 3 318i,318i Szwajcar!!!,2010,204 000 km,1 995 cm3,Benzyna,25 900
https://www.otomoto.pl/oferta/bmw-seria-3-1-8-benzyna-sedan-skory-zadbana-ID6DPPPO.html#28e498e40a,BMW Seria 3 318i,1.8 benzyna sedan skóry zadbana,1998,250 000 km,1 895 cm3,Benzyna,3 800
https://www.otomoto.pl/oferta/bmw-m4-bmw-m4-stan-idealny-cesja-wynajmu-dlugoterminowego-ID6DO0bV.html#28e498e40a,BMW M4 Coupe,"BMW M4 STAN IDEALNY, cesja wynajmu długoterminowego",2018,41 298 km,2 979 cm3,Benzyna,118 231
https://www.otomoto.pl/oferta/bmw-seria-5-bezwypadkowy-serwisowany-ID6DQrkF.html#28e498e40a,BMW Seria 5 520d,BEZWYPADKOWY !!! Serwisowany!!!,2017,198 000 km,1 995 cm3,Diesel,99 900
https://www.otomoto.pl/oferta/bmw-seria-1-m-pakiet-ID6DQxWe.html#28e498e40a,BMW Seria 1,M Pakiet,2009,340 000 km,1 995 cm3,Diesel,11 900
https://www.otomoto.pl/oferta/bmw-seria-5-automat-czarny-sufit-skora-bez-bi-xenon-oryginal-ID6DFEZa.html#28e498e40a,BMW Seria 5,Automat Czarny sufit. Skóra beż. Bi.xenon ORYGINAŁ,2011,229 000 km,2 000 cm3,Diesel,54 900
https://www.otomoto.pl/oferta/bmw-i3-19-tys-km-94ah-i-wlasciciel-salon-polska-fv-23-oryginalny-lakier-ID6DOIxm.html#28e498e40a,BMW i3 94,"19 tys km, 94Ah, I właściciel, salon Polska, FV 23%, oryginalny lakier",2018,19 000 km,1 798 cm3,Elektryczny,89 900
https://www.otomoto.pl/oferta/bmw-seria-5-stan-bardzo-dobry-po-wymianie-rozrzadu-gwarancja-ID6DPPBc.html#28e498e40a,BMW Seria 5 525d,Stan Bardzo Dobry Po wymianie rozrządu gwarancja,2011,209 600 km,1 995 cm3,Diesel,46 800
https://www.otomoto.pl/oferta/bmw-seria-3-bmw-318-d-stan-jak-nowy-salon-pl-m-sport-dodrze-wyp-live-cocpit-ID6DMzgK.html#28e498e40a,BMW Seria 3 318d,BMW 318 D/Stan jak nowy/Salon Pl/M Sport/ Dodrze wyp/Live cocpit,2019,32 000 km,1 995 cm3,Diesel,141 450
https://www.otomoto.pl/oferta/bmw-seria-1-bmw-e87-bogata-wersja-ID6DQxW3.html#28e498e40a,BMW Seria 1 120d,BMW E87 Bogata wersja,2005,168 714 km,1 995 cm3,Diesel,10 900
https://www.otomoto.pl/oferta/bmw-seria-5-sprzedam-bmw-5-mpakiet-polski-salon-stan-salonowy-okazja-ID6DiwRL.html#28e498e40a,BMW Seria 5 530i,Sprzedam BMW 5 Mpakiet Polski salon stan salonowy!!! Okazja!!!,2017,16 000 km,1 998 cm3,Benzyna,196 000
https://www.otomoto.pl/oferta/bmw-seria-7-bmw-750i-ID6DG5Gx.html#28e498e40a,BMW Seria 7 750i,BMW 750i,2009,210 000 km,4 395 cm3,Benzyna,55 900
https://www.otomoto.pl/oferta/bmw-x5-bmw-x5-xdrive-35i-pano-kam-360-head-up-ID6DJdRC.html#28e498e40a,BMW X5 xDrive35i,BMW X5 XDrive 35i Pano kam 360 head up,2015,115 000 km,2 979 cm3,Benzyna,134 000
https://www.otomoto.pl/oferta/bmw-seria-7-740xd-pierwszy-wlasciciel-bezwypadkowy-salon-pl-ID6CL58f.html#28e498e40a,BMW Seria 7 740d,740XD Pierwszy Właściciel bezwypadkowy salon pl,2015,169 000 km,2 993 cm3,Diesel,179 000
https://www.otomoto.pl/oferta/bmw-seria-5-sprzedam-bmw-serii-5-ID6DPPkQ.html#28e498e40a,BMW Seria 5 520d,Sprzedam BMW SERII 5,2015,232 000 km,1 995 cm3,Diesel,75 000
https://www.otomoto.pl/oferta/bmw-x6-bmw-x6-e71-xdrive-3-5d-2009-wlasciciel-pl-11-lat-b-bogate-wyposazenie-ID6DPPii.html#28e498e40a,BMW X6 xDrive35d,BMW X6 E71 XDrive 3.5D 2009 Właściciel PL 11 lat B. Bogate wyposażenie,2009,184 330 km,2 993 cm3,Diesel,87 330
https://www.otomoto.pl/oferta/bmw-seria-3-lift-e90-2-0d-skory-led-xenon-navi-cic-alu-17-nowy-rozrzad-ID6DOHSb.html#28e498e40a,BMW Seria 3 320d,"LIFT e90 2.0d skóry, LED, xenon, NAVI CIC ,alu 17, Nowy Rozrząd!",2009,227 000 km,1 995 cm3,Diesel,32 900
https://www.otomoto.pl/oferta/bmw-seria-5-520d-190km-xdrive-m-pakiet-kamera-skora-19-alu-full-ID6Dhpcp.html#28e498e40a,BMW Seria 5 520d,520d 190KM xdrive * M Pakiet * Kamera * Skóra * 19 Alu * Full *,2015,206 000 km,1 995 cm3,Diesel,79 900
https://www.otomoto.pl/oferta/bmw-seria-5-520d-184km-18-alu-skora-navi-pl-bi-xenon-skretny-lifting-ID6DzAZ2.html#28e498e40a,BMW Seria 5,520d 184KM * 18 Alu * Skóra * Navi PL * Bi xenon Skrętny * Lifting *,2014,262 000 km,1 995 cm3,Diesel,55 900
https://www.otomoto.pl/oferta/bmw-seria-3-e91-super-stan-alu-18-ID6DPPe3.html#28e498e40a,BMW Seria 3 320d,E91\super stan\alu 18'',2005,240 000 km,1 995 cm3,Diesel,21 900
https://www.otomoto.pl/oferta/bmw-seria-7-bmw-e38-2-8i-igla-manual-ID6Dp9Yi.html#28e498e40a,BMW Seria 7 728i,Bmw e38 2.8i igła manual,1999,250 000 km,2 793 cm3,Benzyna,27 500
https://www.otomoto.pl/oferta/bmw-seria-7-bmw-750i-g12-x-drive-560koni-alpina-m-power-serwis-gwarancja-2-lata-ID6DQw0f.html#28e498e40a,BMW Seria 7 750i,BMW 750i G12 x drive 560koni ALPINA M Power SERWIS GWARANCJA 2 LATA,2015,90 000 km,4 395 cm3,Benzyna,200 000
https://www.otomoto.pl/oferta/bmw-seria-5-bmw-530i-sportline-navi-led-acc-headup-perla-ID6DBAGS.html#28e498e40a,BMW Seria 5 530i,"BMW 530i SportLine,Navi,LED,ACC,HeadUP,Perła",2018,54 500 km,1 998 cm3,Benzyna,139 999
https://www.otomoto.pl/oferta/bmw-x1-2012-2-0-245km-xdrive-110-000km-automat-tempomat-skora-panorama-alu17-ID6DQl2h.html#28e498e40a,BMW X1 xDrive28i,2012 2.0 245KM xdrive 110.000km Automat Tempomat Skóra Panorama Alu'17,2012,110 000 km,1 997 cm3,Benzyna,37 400
https://www.otomoto.pl/oferta/bmw-seria-7-bmw-730d-xdrive-g11-2020rok-cesja-leasingu-bardzo-niska-rata-ID6DJSLU.html#28e498e40a,BMW Seria 7 730d,BMW 730d xDrive G11 2020rok cesja leasingu bardzo niska rata,2020,15 000 km,2 993 cm3,Diesel,400 000
https://www.otomoto.pl/oferta/bmw-seria-5-bmw-520d-184km-xenon-skory-kola20-ID6Di5Iz.html#28e498e40a,BMW Seria 5,"BMW 520d 184KM,xenon,skóry,koła20""",2011,259 000 km,1 995 cm3,Diesel,47 800
https://www.otomoto.pl/oferta/bmw-x1-bmw-x1-salon-polska-231-km-fv-ID6DQxJi.html#28e498e40a,BMW X1 xDrive25d,BMW X1 salon Polska 231 KM FV,2017,64 509 km,1 995 cm3,Diesel,124 999
https://www.otomoto.pl/oferta/bmw-seria-3-bmw-318d-luxury-line-ID6DBzFr.html#28e498e40a,BMW Seria 3,BMW 318d Luxury Line,2021,1 km,1 995 cm3,Diesel,210 000
https://www.otomoto.pl/oferta/bmw-x1-bmw-x1-18i-sdrive-reflektory-led-ID6DBzFx.html#28e498e40a,BMW X1,BMW X1 18i sDrive Reflektory LED,2020,5 km,1 499 cm3,Benzyna,155 000
https://www.otomoto.pl/oferta/bmw-seria-3-lift-e90-2-0d-sedan-skory-led-alu-navi-nowy-rozrzad-ID6DO1al.html#b051882c57,BMW Seria 3 320d,"LIFT e90 2.0d SEDAN ,skóry, LED, alu, NAVI ,nowy rozrząd !",2009,214 000 km,1 995 cm3,Diesel,26 900
https://www.otomoto.pl/oferta/bmw-seria-3-bmw-seria-3-bmw-320d-ID6DPOR7.html#b051882c57,BMW Seria 3 320d,BMW Seria 3 BMW 320D,2005,270 600 km,1 995 cm3,Diesel,16 900
https://www.otomoto.pl/oferta/bmw-x4-idealna-x4-xdrive28i-xline-niski-przebieg-bogate-wyposazenie-keyless-ID6DGwhT.html#b051882c57,BMW X4 xDrive28i,Idealna X4 xDrive28i xLine Niski przebieg Bogate wyposażenie Keyless,2016,75 000 km,1 997 cm3,Benzyna,103 700
https://www.otomoto.pl/oferta/bmw-seria-5-520d-4x4-sport-line-kamery-360-head-up-skora-18-adaptiv-led-aso-fv23-ID6DKH8Y.html#b051882c57,BMW Seria 5 520d,"520d 4x4 Sport Line/Kamery 360/Head up/Skóra/18""/Adaptiv LED/ASO/FV23",2017,102 000 km,1 995 cm3,Diesel,139 900
https://www.otomoto.pl/oferta/bmw-seria-5-m-pakiet-full-opcja-europa-fv23-ID6DGhkj.html#b051882c57,BMW Seria 5 550i,M pakiet Full Opcja Europa FV23%,2011,159 590 km,4 395 cm3,Benzyna,75 900
https://www.otomoto.pl/oferta/bmw-seria-1-2-0-16v-climatronic-alu-grzane-fotele-zarejestrowany-gwarancja-ID6DAS7V.html#b051882c57,BMW Seria 1 118i,* 2.0 16V* Climatronic* Alu* Grzane fotele* Zarejestrowany* Gwarancja,2009,194 000 km,1 995 cm3,Benzyna,21 800
https://www.otomoto.pl/oferta/bmw-seria-5-2-5-benz-automat-skora-xenon-navi-niski-przebieg-okazja-zero-wkladu-ID6DQr1C.html#b051882c57,BMW Seria 5,2.5 Benz/Automat/Skóra/Xenon/Navi/Niski przebieg!Okazja zero wkładu!,2006,159 000 km,2 497 cm3,Benzyna,22 800
https://www.otomoto.pl/oferta/bmw-seria-3-bmw-seria-3-316d-navi-diesel-ID6DQxz7.html#b051882c57,BMW Seria 3 316d,BMW Seria 3 316D NAVi Diesel,2011,264 866 km,1 995 cm3,Diesel,26 900
https://www.otomoto.pl/oferta/bmw-seria-3-bmw-3-f30-320i-xdrive-m-pakiet-ID6DPOiT.html#b051882c57,BMW Seria 3 320i,Bmw 3 f30 320i xdrive m pakiet,2014,177 000 km,1 997 cm3,Benzyna,64 900
https://www.otomoto.pl/oferta/bmw-seria-3-m-sport-xdrive-acc-cyfrowy-klucz-live-cocpit-pro-kamera-hifi-led-fv23-ID6DPnHW.html#b051882c57,BMW Seria 3 320i,M Sport xDrive ACC Cyfrowy klucz Live Cocpit Pro Kamera HiFi LED FV23%,2019,58 000 km,1 998 cm3,Benzyna,184 900
https://www.otomoto.pl/oferta/bmw-seria-5-bmw-520d-190ps-individual-sport-line-head-up-komforty-kamery-360-3d-ID6DQxvD.html#b051882c57,BMW Seria 5 520d,BMW 520D 190PS INDIVIDUAL SPORT line Head up Komforty Kamery 360/3D,2017,162 000 km,1 995 cm3,Diesel,115 500
https://www.otomoto.pl/oferta/bmw-seria-5-20d-g31-touring-steptronic-navi-led-ID6DNscv.html#b051882c57,BMW Seria 5,20d G31 Touring Steptronic Navi LED,2017,143 340 km,1 995 cm3,Diesel,104 900
